t=2021-06-17T22:07:31+0900 lvl=info msg="no configuration paths supplied"
t=2021-06-17T22:07:31+0900 lvl=info msg="using configuration at default config path" path=/Users/scottcho/.ngrok2/ngrok.yml
t=2021-06-17T22:07:31+0900 lvl=info msg="open config file" path=/Users/scottcho/.ngrok2/ngrok.yml err=nil
t=2021-06-17T22:07:31+0900 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040
t=2021-06-17T22:07:32+0900 lvl=info msg="tunnel session started" obj=tunnels.session
t=2021-06-17T22:07:32+0900 lvl=info msg="client session established" obj=csess id=2bfa102e236e
t=2021-06-17T22:07:32+0900 lvl=info msg="started tunnel" obj=tunnels name="command_line (http)" addr=http://localhost:3000 url=http://f1ce2ab4279b.ngrok.io
t=2021-06-17T22:07:32+0900 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://f1ce2ab4279b.ngrok.io
t=2021-06-17T22:11:53+0900 lvl=info msg="join connections" obj=join id=2be0d3314695 l=[::1]:3000 r=61.254.18.27:49273
t=2021-06-17T22:13:21+0900 lvl=info msg="join connections" obj=join id=700ffd813a91 l=[::1]:3000 r=61.254.18.27:49272
t=2021-06-17T22:13:57+0900 lvl=info msg="join connections" obj=join id=178e0cd61b6c l=[::1]:3000 r=61.254.18.27:49266
t=2021-06-17T22:14:27+0900 lvl=info msg="join connections" obj=join id=08444b20e3d6 l=[::1]:3000 r=61.254.18.27:49275
t=2021-06-17T22:14:28+0900 lvl=info msg="join connections" obj=join id=94b32e754788 l=[::1]:3000 r=61.254.18.27:49274
t=2021-06-17T22:14:28+0900 lvl=info msg="join connections" obj=join id=675165bd5c55 l=[::1]:3000 r=61.254.18.27:49265
t=2021-06-17T22:14:29+0900 lvl=info msg="join connections" obj=join id=d6503bd7feb8 l=[::1]:3000 r=61.254.18.27:50011
t=2021-06-17T22:14:29+0900 lvl=info msg="join connections" obj=join id=08f9cc9b2404 l=[::1]:3000 r=61.254.18.27:50010
t=2021-06-17T22:14:29+0900 lvl=info msg="join connections" obj=join id=0e28f1e7c138 l=[::1]:3000 r=61.254.18.27:50009
t=2021-06-17T22:14:29+0900 lvl=info msg="join connections" obj=join id=c051f2f84887 l=[::1]:3000 r=61.254.18.27:50008
t=2021-06-17T22:14:38+0900 lvl=info msg="join connections" obj=join id=e28cf0e43829 l=[::1]:3000 r=61.254.18.27:50010
t=2021-06-17T22:15:09+0900 lvl=info msg="join connections" obj=join id=00715c49fa3f l=[::1]:3000 r=61.254.18.27:50011
t=2021-06-17T22:16:04+0900 lvl=info msg="join connections" obj=join id=5845e77e5ed4 l=[::1]:3000 r=61.254.18.27:49265
t=2021-06-17T22:16:07+0900 lvl=info msg="join connections" obj=join id=e42516a13c44 l=[::1]:3000 r=61.254.18.27:50009
t=2021-06-17T23:08:22+0900 lvl=info msg="received stop request" obj=app stopReq="{err:<nil> restart:false}"
t=2021-06-17T23:08:22+0900 lvl=info msg="session closing" obj=tunnels.session err=nil
t=2021-06-17T23:08:22+0900 lvl=info msg="accept failed" obj=csess id=2bfa102e236e err="reconnecting session closed"
